iter	Passed	Remaining
720	30388	11759
721	30419	11712
722	30447	11665
723	30479	11619
724	30508	11572
725	30541	11526
726	30567	11478
727	30595	11431
728	30626	11385
729	30656	11338
730	30691	11294
731	30722	11247
732	30750	11201
733	30776	11153
734	30804	11106
735	30836	11060
736	30863	11013
737	30892	10967
738	30919	10920
739	30948	10873
740	30975	10826
741	31010	10782
742	31041	10737
743	31073	10691
744	31104	10646
745	31135	10601
746	31162	10554
747	31191	10508
748	31225	10463
749	31257	10419
750	31287	10373
751	31319	10328
752	31349	10283
753	31377	10237
754	31410	10192
755	31436	10146
756	31466	10100
757	31499	10056
758	31527	10010
759	31564	9967
760	31594	9922
761	31625	9877
762	31653	9832
763	31682	9786
764	31715	9742
765	31743	9697
766	31771	9651
767	31798	9605
768	31830	9561
769	31860	9516
770	31891	9472
771	31921	9427
772	31948	9382
773	31979	9337
774	32008	9292
775	32034	9247
776	32064	9202
777	32093	9157
778	32122	9113
779	32151	9068
780	32191	9026
781	32233	8985
782	32272	8944
783	32308	8901
784	32344	8858
785	32381	8816
786	32419	8774
787	32448	8729
788	32486	8687
789	32523	8645
790	32556	8602
791	32591	8559
792	32625	8516
793	32662	8474
794	32702	8432
795	32735	8389
796	32796	8353
797	32840	8312
798	32872	8269
799	32906	8226
800	32937	8183
801	32977	8141
802	33052	8108
803	33143	8079
804	33243	8052
805	33318	8019
806	33363	7979
807	33404	7937
808	33452	7897
809	33502	7858
810	33539	7816
811	33581	7774
812	33619	7732
813	33659	7691
814	33721	7654
815	33766	7614
816	33815	7574
817	33866	7535
818	33917	7495
819	33955	7453
820	33989	7410
821	34021	7367
822	34060	7325
823	34095	7282
824	34128	7239
825	34161	7196
826	34195	7153
827	34226	7109
828	34255	7066
829	34288	7022
830	34325	6980
831	34357	6937
832	34387	6894
833	34419	6850
834	34453	6808
835	34485	6765
836	34518	6722
837	34575	6684
838	34633	6646
839	34706	6610
840	34783	6576
841	34847	6539
842	34902	6500
843	34966	6463
844	35047	6428
845	35110	6391
846	35168	6352
847	35229	6314
848	35290	6276
849	35344	6237
850	35443	6205
851	35563	6177
852	35648	6143
853	35701	6103
854	35746	6062
855	35785	6019
856	35819	5976
857	35854	5933
858	35894	5891
859	35927	5848
860	35964	5806
861	36005	5764
862	36054	5723
863	36099	5682
864	36137	5639
865	36172	5597
866	36208	5554
867	36239	5511
868	36271	5467
869	36308	5425
870	36340	5382
871	36374	5339
872	36405	5296
873	36446	5254
874	36476	5210
875	36509	5168
876	36545	5125
877	36575	5082
878	36607	5039
879	36638	4996
880	36672	4953
881	36706	4910
882	36739	4868
883	36769	4824
884	36801	4782
885	36831	4739
886	36868	4696
887	36900	4654
888	36933	4611
889	36972	4569
890	37003	4526
891	37037	4484
892	37072	4442
893	37109	4400
894	37145	4357
895	37173	4314
896	37204	4272
897	37241	4230
898	37273	4187
899	37303	4144
900	37331	4101
901	37359	4059
902	37392	4016
903	37424	3974
904	37458	3932
905	37486	3889
906	37518	3846
907	37549	3804
908	37593	3763
909	37628	3721
910	37675	3680
911	37711	3638
912	37747	3597
913	37781	3554
914	37812	3512
915	37847	3470
916	37877	3428
917	37908	3386
918	37942	3344
919	37971	3301
920	38006	3260
921	38043	3218
922	38091	3177
923	38128	3136
924	38161	3094
925	38193	3052
926	38226	3010
927	38271	2969
928	38452	2938
929	38489	2897
930	38531	2855
931	38567	2813
932	38603	2772
933	38639	2730
934	38676	2688
935	38708	2646
936	38739	2604
937	38774	2562
938	38814	2521
939	38854	2480
940	38893	2438
941	38951	2398
942	38998	2357
943	39028	2315
944	39063	2273
945	39102	2232
946	39143	2190
947	39183	2149
948	39229	2108
949	39261	2066
950	39294	2024
951	39331	1983
952	39372	1941
953	39415	1900
954	39450	1858
955	39493	1817
956	39533	1776
957	39576	1735
958	39611	1693
959	39649	1652
960	39693	1610
961	39733	1569
962	39860	1531
963	39929	1491
964	39964	1449
965	40003	1407
966	40038	1366
967	40075	1324
968	40114	1283
969	40171	1242
970	40208	1200
971	40240	1159
972	40410	1121
973	40449	1079
974	40493	1038
975	40535	996
976	40573	955
977	40610	913
978	40645	871
979	40677	830
980	40708	788
981	40739	746
982	40776	705
983	40805	663
984	40833	621
985	40863	580
986	40889	538
987	40925	497
988	40956	455
989	40988	414
990	41017	372
991	41045	331
992	41074	289
993	41112	248
994	41140	206
995	41168	165
996	41197	123
997	41232	82
998	41258	41
999	41294	0
